                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1074,                0.99892,                 1.4872,                0.85405,                0.81143,                0.85584,                0.63309,                 1.1495,                 0.9202,                 1.6555,               0.007822,               0.007822,               0.007822
                     35,                  1.085,                0.99786,                 1.4765,                0.87906,                0.83239,                   0.85,                0.59024,                 1.2468,                0.93669,                 1.7534,               0.007756,               0.007756,               0.007756
                     36,                 1.0961,                0.98919,                 1.4873,                0.84418,                0.84055,                0.86036,                0.60707,                   1.24,                0.94403,                 1.7578,                0.00769,                0.00769,                0.00769
                     37,                 1.0871,                 0.9869,                 1.4734,                 0.8683,                0.82084,                0.85458,                0.63179,                  1.161,                0.92193,                 1.6709,               0.007624,               0.007624,               0.007624
                     38,                 1.0922,                0.99338,                 1.4769,                0.85382,                0.83789,                0.86743,                0.61925,                 1.1985,                0.88915,                  1.694,               0.007558,               0.007558,               0.007558
                     39,                 1.0674,                0.96206,                 1.4588,                0.86075,                0.81145,                0.85707,                0.63885,                 1.1428,                0.88165,                 1.6277,               0.007492,               0.007492,               0.007492
                     40,                 1.0756,                0.98052,                 1.4645,                0.87591,                0.81335,                 0.8698,                0.63726,                 1.1667,                0.87342,                 1.6447,               0.007426,               0.007426,               0.007426
                     41,                 1.0658,                0.94563,                  1.457,                0.81983,                0.82751,                0.85877,                0.64844,                 1.1197,                0.87436,                 1.6191,                0.00736,                0.00736,                0.00736
                     42,                 1.0579,                0.93017,                 1.4491,                 0.8537,                0.81799,                0.86605,                0.62304,                 1.1881,                0.88721,                 1.6681,               0.007294,               0.007294,               0.007294
                     43,                 1.0456,                0.91328,                 1.4261,                0.86929,                0.80434,                0.85318,                0.61893,                 1.2122,                0.94305,                 1.6987,               0.007228,               0.007228,               0.007228
                     44,                 1.0556,                0.94029,                 1.4361,                0.89004,                0.81558,                 0.8741,                0.65547,                 1.1208,                0.84556,                 1.5983,               0.007162,               0.007162,               0.007162
                     45,                 1.0598,                0.92354,                 1.4428,                0.86416,                0.77616,                0.86979,                  0.648,                 1.1391,                0.89516,                  1.632,               0.007096,               0.007096,               0.007096
                     46,                 1.0522,                0.91626,                 1.4385,                 0.8344,                0.83593,                0.86624,                0.65757,                 1.0876,                0.87976,                 1.5982,                0.00703,                0.00703,                0.00703
                     47,                 1.0492,                0.92191,                 1.4387,                0.86718,                0.79764,                0.86758,                0.65404,                 1.1562,                0.86488,                 1.6384,               0.006964,               0.006964,               0.006964
                     48,                 1.0298,                0.88849,                 1.4224,                0.87793,                0.81796,                0.87624,                0.65993,                 1.0907,                0.82344,                 1.5799,               0.006898,               0.006898,               0.006898
                     49,                 1.0193,                0.90807,                 1.4119,                0.85918,                0.85369,                0.87283,                0.66078,                 1.1151,                0.82514,                 1.6184,               0.006832,               0.006832,               0.006832
                     50,                 1.0264,                0.89016,                 1.4123,                0.79812,                0.83745,                0.86053,                0.60874,                 1.2375,                0.89066,                 1.7413,               0.006766,               0.006766,               0.006766
                     51,                 1.0319,                0.89507,                 1.4181,                0.85258,                0.84093,                0.87233,                0.64727,                 1.1697,                0.86167,                 1.6827,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.0194,                  0.904,                 1.4142,                0.84585,                0.86093,                0.87789,                0.65298,                 1.1113,                0.81538,                 1.6253,               0.006634,               0.006634,               0.006634
                     53,                  1.013,                0.87518,                 1.4132,                0.81956,                0.85243,                0.87474,                0.65928,                 1.1006,                  0.811,                 1.5984,               0.006568,               0.006568,               0.006568
                     54,                 1.0145,                0.87805,                  1.415,                0.80317,                0.86776,                0.87117,                 0.6588,                 1.1206,                0.84271,                 1.6074,               0.006502,               0.006502,               0.006502
                     55,                 1.0003,                 0.8501,                 1.3941,                0.87531,                 0.8068,                0.87749,                0.65751,                 1.1165,                0.84144,                 1.6172,               0.006436,               0.006436,               0.006436
                     56,                 1.0075,                0.84079,                 1.3894,                0.86536,                0.86211,                0.88582,                0.68193,                 1.0675,                0.78404,                 1.5487,                0.00637,                0.00637,                0.00637
                     57,                 1.0075,                0.84612,                 1.4071,                 0.8918,                0.82053,                0.87661,                0.64467,                 1.1584,                0.81607,                 1.6478,               0.006304,               0.006304,               0.006304
                     58,                0.99432,                0.84088,                 1.3936,                0.84763,                0.84246,                0.87957,                0.65502,                 1.1203,                0.79342,                 1.6125,               0.006238,               0.006238,               0.006238
                     59,                0.99855,                0.87087,                 1.3995,                0.85878,                0.83556,                0.88368,                0.68242,                 1.0621,                0.77829,                 1.5696,               0.006172,               0.006172,               0.006172
                     60,                0.98302,                0.82832,                 1.3841,                0.83719,                0.85721,                0.87342,                 0.6459,                 1.1474,                0.81472,                 1.6427,               0.006106,               0.006106,               0.006106
                     61,                 1.0027,                0.85648,                    1.4,                0.86456,                0.85754,                 0.8843,                0.66065,                 1.0946,                0.79292,                 1.5783,                0.00604,                0.00604,                0.00604
                     62,                0.99181,                 0.8433,                 1.3834,                0.86158,                0.85455,                0.87946,                0.66935,                 1.0929,                0.80623,                  1.602,               0.005974,               0.005974,               0.005974
                     63,                0.99647,                0.82709,                 1.3958,                0.85544,                0.85409,                0.88168,                0.66024,                 1.1338,                0.79552,                 1.6251,               0.005908,               0.005908,               0.005908
                     64,                0.98585,                0.83349,                 1.3962,                0.84033,                0.86145,                0.87411,                0.66607,                 1.0907,                0.77836,                 1.5847,               0.005842,               0.005842,               0.005842
                     65,                0.96163,                0.82917,                 1.3746,                0.86189,                 0.8522,                 0.8735,                 0.6622,                 1.1244,                 0.7888,                 1.6007,               0.005776,               0.005776,               0.005776
                     66,                0.96789,                0.81998,                 1.3757,                0.88749,                0.83877,                0.88176,                0.66312,                 1.0849,                0.79895,                 1.5786,                0.00571,                0.00571,                0.00571
                     67,                0.94856,                0.79703,                 1.3691,                0.83357,                0.85439,                0.86862,                0.65998,                 1.0744,                0.78171,                 1.5568,               0.005644,               0.005644,               0.005644
                     68,                0.95824,                0.80414,                 1.3602,                0.83363,                0.87586,                0.87986,                0.66704,                 1.0984,                0.78007,                 1.5798,               0.005578,               0.005578,               0.005578
                     69,                0.95681,                0.81616,                 1.3656,                0.85205,                0.82253,                0.87687,                0.66923,                 1.0668,                0.77834,                 1.5608,               0.005512,               0.005512,               0.005512
                     70,                0.94476,                0.79149,                 1.3484,                0.82207,                0.84183,                0.86775,                 0.6557,                 1.0917,                0.79657,                 1.5825,               0.005446,               0.005446,               0.005446
                     71,                0.96087,                0.80093,                 1.3614,                0.84921,                0.83505,                0.88908,                0.68129,                 1.0507,                0.73711,                 1.5456,                0.00538,                0.00538,                0.00538
                     72,                 0.9616,                0.79268,                  1.364,                0.82846,                0.84049,                0.87316,                0.67092,                 1.0885,                0.80493,                 1.5588,               0.005314,               0.005314,               0.005314
                     73,                0.94893,                0.78025,                 1.3602,                0.86461,                0.86816,                 0.8747,                0.67079,                 1.0745,                0.77717,                 1.5647,               0.005248,               0.005248,               0.005248
                     74,                0.94329,                0.78036,                 1.3498,                0.87493,                0.82921,                 0.8746,                0.66275,                 1.1211,                0.77555,                 1.5994,               0.005182,               0.005182,               0.005182
                     75,                0.95187,                0.77902,                 1.3466,                 0.8702,                0.85503,                0.87137,                0.66863,                 1.0674,                0.76337,                 1.5559,               0.005116,               0.005116,               0.005116
                     76,                0.93387,                0.77598,                 1.3368,                0.85653,                0.87311,                0.88372,                0.67673,                 1.0717,                   0.76,                 1.5463,                0.00505,                0.00505,                0.00505
                     77,                0.94533,                0.78019,                 1.3494,                0.82291,                0.85466,                0.86942,                0.67201,                 1.0479,                0.78482,                 1.5387,               0.004984,               0.004984,               0.004984
                     78,                0.92269,                0.76962,                 1.3341,                0.84622,                0.84252,                 0.8752,                0.67315,                 1.0535,                0.74863,                 1.5308,               0.004918,               0.004918,               0.004918
                     79,                0.93749,                0.77776,                 1.3394,                0.87433,                0.84768,                0.88176,                0.67247,                 1.0774,                0.75444,                 1.5838,               0.004852,               0.004852,               0.004852
                     80,                0.92096,                0.75847,                 1.3334,                0.87644,                0.84202,                0.88308,                0.67375,                 1.0775,                0.75384,                 1.5654,               0.004786,               0.004786,               0.004786
                     81,                0.91655,                0.75157,                 1.3368,                0.86805,                0.84816,                0.88274,                0.68353,                 1.0717,                0.74967,                 1.5722,                0.00472,                0.00472,                0.00472
                     82,                0.92674,                0.77155,                 1.3455,                0.86465,                 0.8774,                0.88582,                0.69189,                 1.0426,                0.72911,                 1.5341,               0.004654,               0.004654,               0.004654
                     83,                0.91051,                0.74685,                  1.332,                0.90046,                0.82946,                0.89097,                0.69349,                 1.0388,                0.72753,                 1.5349,               0.004588,               0.004588,               0.004588
                     84,                0.91425,                0.74109,                 1.3268,                0.86247,                0.86412,                0.88428,                 0.6855,                 1.0696,                0.73335,                 1.5599,               0.004522,               0.004522,               0.004522
                     85,                0.92019,                0.74454,                 1.3301,                0.86719,                0.86408,                0.88693,                 0.6825,                 1.0597,                0.73603,                 1.5607,               0.004456,               0.004456,               0.004456
                     86,                0.91315,                0.73952,                 1.3201,                0.85863,                0.86491,                0.88327,                 0.6735,                 1.0512,                0.74123,                 1.5405,                0.00439,                0.00439,                0.00439
                     87,                0.90595,                0.73102,                 1.3304,                0.87854,                0.84743,                 0.8792,                0.67159,                 1.0576,                0.75668,                 1.5536,               0.004324,               0.004324,               0.004324
                     88,                0.90662,                0.72809,                 1.3293,                0.89299,                 0.8411,                0.88865,                0.67632,                 1.0337,                0.73198,                 1.5243,               0.004258,               0.004258,               0.004258
                     89,                 0.9196,                0.76119,                 1.3377,                0.88673,                0.85319,                0.89242,                0.68747,                 1.0784,                0.72612,                 1.5603,               0.004192,               0.004192,               0.004192
                     90,                0.90656,                0.72812,                 1.3272,                0.86446,                0.88129,                 0.8849,                0.67885,                  1.052,                0.73156,                 1.5282,               0.004126,               0.004126,               0.004126
                     91,                0.89827,                0.72217,                 1.3194,                0.86572,                0.84555,                0.88349,                0.68229,                 1.0341,                0.72797,                 1.5143,                0.00406,                0.00406,                0.00406
                     92,                0.89925,                0.72805,                 1.3183,                0.85712,                0.86679,                  0.884,                0.69009,                 1.0447,                0.75879,                 1.5236,               0.003994,               0.003994,               0.003994
                     93,                0.88857,                0.71469,                 1.3184,                 0.8679,                 0.8481,                0.89541,                0.69863,                 1.0233,                0.72104,                  1.515,               0.003928,               0.003928,               0.003928
                     94,                0.90237,                0.72926,                 1.3227,                0.88335,                0.84649,                0.87878,                0.67348,                 1.0942,                0.75384,                 1.5742,               0.003862,               0.003862,               0.003862
                     95,                0.88075,                0.72256,                 1.3053,                0.88389,                  0.858,                0.88839,                0.69292,                 1.0345,                0.71113,                 1.5344,               0.003796,               0.003796,               0.003796
                     96,                0.88251,                0.71858,                 1.3084,                0.88198,                 0.8409,                0.89286,                 0.6867,                 1.0527,                0.72627,                 1.5443,                0.00373,                0.00373,                0.00373
                     97,                0.87696,                0.71165,                 1.3098,                0.85866,                0.85325,                  0.886,                0.69294,                 1.0431,                0.72361,                  1.528,               0.003664,               0.003664,               0.003664
                     98,                0.88342,                 0.6979,                 1.3023,                0.88392,                0.86751,                0.88685,                0.67834,                   1.07,                0.73275,                 1.5619,               0.003598,               0.003598,               0.003598
                     99,                0.89204,                0.71818,                 1.3207,                0.87232,                0.84543,                0.88671,                0.68803,                 1.0333,                0.72997,                 1.5332,               0.003532,               0.003532,               0.003532
                    100,                0.87763,                0.70077,                 1.3001,                0.87116,                0.86466,                0.88992,                0.69332,                 1.0286,                0.72308,                 1.5196,               0.003466,               0.003466,               0.003466
                    101,                0.88203,                 0.7126,                 1.3024,                0.85646,                0.87396,                0.88301,                0.68507,                 1.0272,                0.72437,                  1.525,                 0.0034,                 0.0034,                 0.0034
                    102,                0.87835,                0.71828,                 1.3098,                0.84466,                0.88281,                0.88713,                0.69024,                 1.0523,                0.72197,                  1.542,               0.003334,               0.003334,               0.003334
                    103,                0.86794,                0.68978,                 1.3023,                0.86337,                 0.8504,                0.88533,                0.69138,                  1.041,                0.72418,                 1.5199,               0.003268,               0.003268,               0.003268
                    104,                0.85954,                0.68163,                 1.2855,                0.88702,                0.85762,                0.89057,                0.69583,                 1.0315,                0.72367,                 1.5186,               0.003202,               0.003202,               0.003202
                    105,                0.86238,                0.68508,                 1.2945,                0.86821,                 0.8706,                0.88552,                0.69169,                 1.0355,                0.73137,                 1.5199,               0.003136,               0.003136,               0.003136
                    106,                0.86276,                0.70403,                 1.2888,                0.86685,                0.86241,                0.88677,                0.69505,                 1.0174,                0.72378,                 1.5144,                0.00307,                0.00307,                0.00307
                    107,                0.85207,                0.69545,                 1.2854,                0.84573,                0.86774,                0.88265,                0.69304,                 1.0216,                0.73129,                 1.5248,               0.003004,               0.003004,               0.003004
                    108,                0.86013,                0.67652,                 1.2858,                0.87478,                0.87942,                0.89221,                0.69291,                 1.0201,                0.70785,                 1.5093,               0.002938,               0.002938,               0.002938
                    109,                0.85401,                0.67548,                 1.2845,                0.85991,                0.86329,                0.88206,                0.68713,                 1.0259,                0.71983,                 1.5143,               0.002872,               0.002872,               0.002872
                    110,                0.85942,                 0.6869,                 1.2842,                0.87293,                0.86367,                0.88363,                0.69574,                 1.0221,                0.72112,                 1.5179,               0.002806,               0.002806,               0.002806
                    111,                0.86047,                 0.6782,                 1.2864,                0.85217,                0.86449,                0.88755,                0.70172,                 1.0132,                0.71832,                 1.5114,                0.00274,                0.00274,                0.00274
                    112,                0.84331,                0.66862,                 1.2729,                0.85061,                 0.8806,                0.88858,                 0.6971,                 1.0004,                0.69754,                 1.5007,               0.002674,               0.002674,               0.002674
                    113,                0.83704,                0.66485,                 1.2778,                0.87706,                0.84179,                0.88963,                0.69421,                 1.0226,                0.69872,                 1.5126,               0.002608,               0.002608,               0.002608
                    114,                0.84191,                0.68018,                 1.2867,                0.87117,                0.87248,                0.89169,                 0.7033,                 1.0034,                0.69239,                 1.5061,               0.002542,               0.002542,               0.002542
                    115,                0.84928,                0.68552,                 1.2808,                0.88419,                 0.8618,                0.89507,                0.69704,                 1.0404,                0.69464,                 1.5383,               0.002476,               0.002476,               0.002476
                    116,                0.83362,                0.65362,                 1.2719,                0.86873,                0.86391,                0.89146,                0.69903,                  1.029,                0.69587,                 1.5306,                0.00241,                0.00241,                0.00241
                    117,                0.81663,                 0.6396,                 1.2627,                0.88236,                0.86803,                0.89331,                0.70489,                 1.0205,                0.68844,                 1.5313,               0.002344,               0.002344,               0.002344
                    118,                0.82616,                0.65204,                  1.268,                0.87771,                0.86868,                0.89466,                 0.7098,                0.99555,                0.68904,                 1.4898,               0.002278,               0.002278,               0.002278
                    119,                 0.8411,                0.67844,                 1.2828,                0.86786,                0.86708,                0.88545,                0.69097,                 1.0315,                0.72536,                 1.5293,               0.002212,               0.002212,               0.002212
                    120,                0.82654,                0.65982,                 1.2749,                0.86867,                0.85252,                0.88868,                0.69114,                 1.0258,                0.72377,                 1.5181,               0.002146,               0.002146,               0.002146
                    121,                0.81984,                0.65075,                 1.2594,                0.87901,                0.86886,                0.88995,                0.71096,                 1.0015,                0.69438,                  1.495,                0.00208,                0.00208,                0.00208
                    122,                0.82958,                0.65763,                 1.2692,                0.86146,                0.88626,                0.89114,                0.70947,                0.98574,                0.69078,                 1.4836,               0.002014,               0.002014,               0.002014
                    123,                0.81349,                0.64214,                 1.2552,                0.88343,                0.86596,                0.89055,                0.69895,                 1.0308,                 0.6943,                 1.5279,               0.001948,               0.001948,               0.001948
                    124,                0.80882,                0.64464,                 1.2574,                0.87227,                0.86844,                0.88873,                0.70621,                 1.0139,                0.70477,                 1.5101,               0.001882,               0.001882,               0.001882
                    125,                0.81269,                0.64653,                 1.2584,                0.88004,                0.86656,                0.89159,                0.70392,                0.99169,                0.69593,                 1.4943,               0.001816,               0.001816,               0.001816
                    126,                0.81219,                0.64876,                 1.2606,                0.87119,                0.87335,                0.88818,                0.69927,                 1.0087,                0.70256,                 1.5055,                0.00175,                0.00175,                0.00175
                    127,                0.81348,                0.63648,                 1.2586,                0.86241,                 0.8801,                0.89552,                0.70724,                 1.0003,                0.69168,                 1.4937,               0.001684,               0.001684,               0.001684
                    128,                0.81715,                0.65665,                 1.2623,                0.87115,                0.86072,                0.88936,                0.70032,                 1.0095,                0.69731,                 1.5101,               0.001618,               0.001618,               0.001618
                    129,                 0.7977,                0.62142,                   1.25,                0.86828,                0.87945,                0.89301,                0.70296,                0.99657,                0.69533,                  1.487,               0.001552,               0.001552,               0.001552
